Altium Designer Pick and Place Locations
I:\DataSheets\ASM2464PD DEMO Board B2 [Altium Designer]\Pick Place for ASM2464PD - B2 Sample.csv

========================================================================================================================
File Design Information:

Date:       11/06/25
Time:       17:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP2","tpc60t_68","BottomLayer","tpc60t_68","1273.000","1426.740","90","FOR ASUS NB ENTEK"
"TP1","tpc60t_68","BottomLayer","tpc60t_68","1273.000","1348.000","90","FOR ASUS NB ENTEK"
"C100","10uF","BottomLayer","C0402","1273.000","1269.000","0","10uF"
"USBC1","105450-0101","TopLayer","USB-C-SMD_TYPE-C-USB-18","1006.116","1508.105","180",""
"C66","100n","BottomLayer","C0402","955.999","1552.468","270",""
"C67","100n","BottomLayer","C0402","920.000","1552.468","90",""
"C70","100n","BottomLayer","C0402","1091.000","1552.468","270",""
"C71","100n","BottomLayer","C0402","1055.000","1552.468","90",""
"R16","2M /NC","BottomLayer","R0402","1021.253","1552.468","270",""
"R14","2M /NC","BottomLayer","R0402","989.253","1552.468","270",""
"J18","?HDR1x1","TopLayer","Header","689.000","1575.260","0",""
"J17","?HDR1x1","TopLayer","Header","1318.922","1575.260","0",""
"U31","ZD25WQ16CEIGR","BottomLayer","USON-8_L3.0-W2.0-P0.50-BL-EP","1394.313","1157.313","0",""
"CE1","330uF","TopLayer","CAP-SMD_L7.3-W4.3-R-RD","1344.000","546.000","90",""
"R110","10K 1%","BottomLayer","R0402","1380.136","1279.549","180",""
"U02","TPS82130SILR","TopLayer","USIP-8_L3.0-W2.8-P0.65-TL-EP","1369.133","1216.368","0",""
"R109","150K 1%","TopLayer","R0402","1416.968","1039.706","270",""
"R108","475K 1%","TopLayer","R0402","1399.364","1096.353","0",""
"C109","10u","TopLayer","C0402","1340.545","1303.587","180","PIN2"
"C108","22uf","TopLayer","C0402","1399.481","1129.790","180",""
"C107","3.3nf","TopLayer","C0402","1399.226","1303.806","0",""
"R107","261K 1%","TopLayer","R0402","704.144","1078.412","180",""
"R106","100K 1%","TopLayer","R0402","654.372","970.890","0",""
"R105","140K 1%","TopLayer","R0402","617.353","1043.492","180",""
"R104","100K 1%","TopLayer","R0402","597.144","996.145","270",""
"L5","1uh","TopLayer","IND-SMD_L2.0-W1.6-B","617.144","1191.665","270","Inductor"
"C106","33u","TopLayer","C0402","617.553","1113.412","0","PIN2"
"C105","6.8pf","TopLayer","C0402","617.371","1077.024","0",""
"C104","10u","TopLayer","C0402","639.144","1422.412","270","PIN2"
"C103","10u","TopLayer","C0402","700.144","1422.412","270","PIN2"
"C102","22u","TopLayer","C0402","704.144","1112.412","180","PIN2"
"C101","4.7pf","TopLayer","C0402","704.181","1044.613","180",""
"U01","LTC3315AEV#TRPBF","TopLayer","LQFN-12_L2.0-W2.0-P0.50-TL-EP0.7","669.144","1335.412","90",""
"R103","10K 1%","TopLayer","R0402","599.639","1387.890","90",""
"L6","1uh","TopLayer","IND-SMD_L2.0-W1.6-B","705.144","1191.665","90","Inductor"
"C48","220n","TopLayer","C0201","733.500","528.771","270",""
"C49","220n","TopLayer","C0201","763.500","528.771","270",""
"C52","220n","TopLayer","C0201","813.654","617.422","270",""
"C50","220n","TopLayer","C0201","783.654","617.422","270",""
"R2","4.7K 1%","BottomLayer","R0402","1215.070","1533.836","90",""
"LED1","19-217/R6C-AL1M2VY/3T","TopLayer","LED0402-RD","1221.000","1633.191","90",""
"C51","10u","TopLayer","C0402","1400.433","823.253","0",""
"C53","220n","TopLayer","C0201","969.631","587.909","270",""
"C54","220n","TopLayer","C0201","999.631","587.909","270",""
"C55","220n","TopLayer","C0201","1061.000","620.823","270",""
"C56","220n","TopLayer","C0201","1091.000","620.823","270",""
"C57","10u","BottomLayer","C0402","956.153","774.321","90",""
"CN1","M.2-MKEY CONNECTOR","BottomLayer","CONN-SMD_APCI0113-P001A","1004.301","543.947","0","M2.-MKEY connector"
"R21","10K 1%","TopLayer","R0402","1214.093","538.797","0",""
"R22","10K 1%","TopLayer","R0402","1214.198","570.072","0",""
"R23","10K 1%","TopLayer","R0402","1214.038","601.467","0",""
"U2","ASM2464PD","TopLayer","BGA273C46P21X21_1000X1000X98","1108.371","944.452","270","ASMEDIA"
"R24","220K 1%","BottomLayer","R0201","940.466","1318.638","0",""
"R25","220K 1%","TopLayer","R0201","848.936","1318.638","180",""
"R26","220K 1%","BottomLayer","R0201","987.468","1318.638","180",""
